dataset,algorithm,n_folds,n_failed,roc_auc_mean,roc_auc_std,train_time_median_s,inference_time_median_s
breast-w,tabicl,15,0,0.9949495361928814,0.0031778620799638477,0.2934274009894579,0.0632206170121207
breast-w,tabpfn,15,0,0.9943276090098406,0.0034515051647525706,0.3663676980067976,0.2869616230018437
breast-w,xgboost,15,0,0.9901605851569805,0.005222168723784728,0.0207128649926744,0.0012170720146968
car,catboost,15,0,0.9996961351735622,0.0003429141969031382,4.207173375005368,0.0033077609841711
car,lightgbm,15,0,0.9992021824202714,0.0009560379775813214,0.1799135680194012,0.0040804159943945
car,random_forest,15,0,0.9986868432830718,0.0006674912661655405,0.10418716003187,0.0146192389656789
car,tabicl,15,0,0.9999128066524674,7.661339531903823e-05,0.2672478669555858,0.071303759003058
car,tabpfn,15,0,0.9999695734537845,4.567809437863255e-05,0.4144525559968315,0.2987551090191118
car,xgboost,15,0,0.9997366409849227,0.00028271241044250774,0.0980799800017848,0.0020816449541598
churn,catboost,15,0,0.924030311029135,0.015593063766601125,2.9336621240363456,0.0037688879529014
churn,lightgbm,15,0,0.9189432726708546,0.01304465953162218,0.097137653036043,0.0037368390476331
churn,random_forest,15,0,0.9166110071809146,0.015561506834450787,0.1732673529768362,0.0164103349670767
churn,tabicl,15,0,0.9316345852378771,0.012800378867499814,0.3349617959465831,0.190729776979424
churn,tabpfn,15,0,0.9345658787872994,0.013211296129571313,0.4363525210064836,0.5430579360108823
churn,xgboost,15,0,0.9213491845147955,0.01444866012360558,0.0727395199937745,0.0021591699915006
climate-model-simulation-crashes,catboost,15,0,0.956241401162036,0.030668330223732006,1.0884684560005553,0.0017358780023641
climate-model-simulation-crashes,lightgbm,15,0,0.9422628400406178,0.03896296037173068,0.0397612170199863,0.0011137870023958
climate-model-simulation-crashes,random_forest,15,0,0.91949609473419,0.0428229936474953,0.0916717969812452,0.013533815043047
climate-model-simulation-crashes,tabicl,15,0,0.9638531192499447,0.03582172598275779,0.2909901169477962,0.0644156339694745
climate-model-simulation-crashes,tabpfn,15,0,0.9565406903502142,0.04339178837878719,0.3690968610462732,0.2818027369794436
climate-model-simulation-crashes,xgboost,15,0,0.944623330813807,0.03905452685666984,0.0292666010209359,0.0015161400078795
cmc,catboost,15,0,0.7249621414625558,0.017478098038604773,2.6138107560109347,0.0034068108070641
cmc,lightgbm,15,0,0.7080781041586809,0.01919806009132948,0.1644260978791862,0.005582186859101
cmc,random_forest,15,0,0.7013582197028022,0.012989603631836174,0.1502692098729312,0.0286557059735059
cmc,tabicl,15,0,0.7515922616443287,0.01697976691310751,0.4086515989620238,0.0970437820069491
cmc,tabpfn,15,0,0.7533381788951606,0.014874610089640392,0.5916638048365712,0.4325567937921732
cmc,xgboost,15,0,0.7050332863760526,0.020255249872788646,0.0960219579283148,0.0026092419866472
cnae-9,catboost,15,0,0.9951581790123457,0.002299301308391582,4.26456307596527,0.0213130409829318
cnae-9,lightgbm,15,0,0.9809349279835391,0.004537854993108872,0.5146033109631389,0.0116928529459983
cnae-9,random_forest,15,0,0.9942788708847736,0.0018778306188629405,0.2769003289868124,0.0312415119842626
cnae-9,tabicl,15,0,0.9982253086419753,0.0008586175357938761,10.598602726007812,1.078461430966854
cnae-9,tabpfn,15,0,0.9947354038065844,0.00214743202309376,1.5661762300296689,1.1916989849996753
cnae-9,xgboost,15,0,0.9931600437242797,0.0030002668776001984,1.2176130429725165,0.0307262429851107
connect-4,catboost,15,0,0.9195636305111979,0.0026216491182271874,360.54106922307983,0.1154027611482888
connect-4,lightgbm,15,0,0.9133113246377979,0.0029629457662001366,0.4789331541396677,0.0537198190577328
connect-4,random_forest,15,0,0.8912254302311388,0.002772613450132337,1.3988254428841174,0.1323052470106631
connect-4,tabicl,15,0,0.9423570239027687,0.00192500833267742,2.356946407118812,6.001890445128083
connect-4,tabpfn,15,0,0.940023821196131,0.0019621015606447008,2.8109305230900645,10.795880703022704
connect-4,xgboost,15,0,0.9173164558267587,0.003029306023074496,0.5547123469877988,0.0174686799291521
credit-approval,catboost,15,0,0.9360894484179295,0.01785257690238501,2.465549349959474,0.0021401920239441
credit-approval,lightgbm,15,0,0.9318756183280662,0.019824952272580354,0.0501119699911214,0.0038849239936098
credit-approval,random_forest,15,0,0.931460322661372,0.01908495572558059,0.1002421180019155,0.0160876179579645
credit-approval,tabicl,15,0,0.9403873096760459,0.01765432124814851,0.3192804169957526,0.0732724129920825
credit-approval,tabpfn,15,0,0.938200478119485,0.01768953201260944,0.4080660249455832,0.3033802619902417
credit-approval,xgboost,15,0,0.9326680572157764,0.02031486195145167,0.0387538609793409,0.0018325520213693
credit-g,catboost,15,0,0.7882063492063492,0.03820083861428547,3.786120102042332,0.0034672007896006
credit-g,lightgbm,15,0,0.7700317460317461,0.0344453267753277,0.0611684448085725,0.0051392540335655
credit-g,random_forest,15,0,0.7810833333333334,0.03079480757055348,0.143569926964119,0.0298045400995761
credit-g,tabicl,15,0,0.7947063492063492,0.029728343889411056,0.4519232190214097,0.1152223029639571
credit-g,tabpfn,15,0,0.7936746031746031,0.030328847246023857,0.6060890720691532,0.4431299539282918
credit-g,xgboost,15,0,0.7722936507936509,0.03049214567821956,0.0422189349774271,0.0023799987975507
cylinder-bands,catboost,15,0,0.8726839174712012,0.033218739084200706,5.49719563301187,0.0031680229585617
cylinder-bands,lightgbm,15,0,0.8806878059519481,0.03336973317211685,0.0407902799779549,0.0047213899670168
cylinder-bands,random_forest,15,0,0.8892125908940619,0.02965834579354731,0.0987211049650795,0.0173109410097822
cylinder-bands,tabicl,15,0,0.9125237031595143,0.025848846284169915,0.411982212041039,0.0873177730245515
